1,1,1,2024-01-10
2,1,4,2024-01-15
3,1,10,2024-01-20
4,1,14,2024-01-25
5,2,11,2024-02-01
6,2,12,2024-02-05
7,2,13,2024-02-08
8,2,18,2024-02-10
9,3,5,2024-03-01
10,3,9,2024-03-05
11,4,2,2024-01-10
12,4,7,2024-01-14
13,4,27,2024-02-01
14,5,3,2024-02-20
15,5,15,2024-02-23
16,5,22,2024-03-01
17,5,26,2024-03-04
18,6,12,2024-01-15
19,6,16,2024-01-18
20,6,19,2024-01-21
21,7,6,2024-03-10
22,7,20,2024-03-15
23,7,25,2024-03-18
24,8,8,2024-04-01
25,8,14,2024-04-03
26,8,24,2024-04-05
27,9,1,2024-02-10
28,9,7,2024-02-13
29,9,17,2024-02-15
30,10,13,2024-01-10
31,10,21,2024-01-13
32,10,28,2024-01-15
33,1,8,2025-05-27
34,1,20,2025-05-27
35,11,1,2025-05-27
36,11,7,2025-05-27
37,11,17,2025-05-27
38,11,18,2025-05-27
39,1,2,2025-05-27
